Batch ID,Game ID,Tried,Completed
2d90c70c14bdc915e4c40f2b23dfe848,Sudoku #1,2,0
ebde0ac509c7e9fc1e59d7a09cf6f5c3,Sudoku #1,3,0
65ad109730bb554b62e38258a40bee26,Sudoku #1,2,0
fa79df7db42866d84f93cf47d2d5b0e7,Sudoku #2,8,0
ac03eb2e0700d39176c077b7f4a727a3,Sudoku #1,2,0
53f5b6eb84c7bab2989af246900404e6,Sudoku #1,10,0
53f5b6eb84c7bab2989af246900404e6,Sudoku #1,2,0
50057d8e6fa9271dc2110b90bda7f871,Sudoku #3,2,0
50057d8e6fa9271dc2110b90bda7f871,Sudoku #1,2,0
7af139861787723d79765b0fb1b561c9,Sudoku #1,2,0
b4cd1735688e021f056f7882d3652135,Sudoku #1,12,4
bbb1709b62ae32f4d2c009fb361a35da,Sudoku #1,12,6
30f8252aafae8ed721ca9aea9738ff82,Sudoku #1,2,0
30f8252aafae8ed721ca9aea9738ff82,Sudoku #1,12,3
30f8252aafae8ed721ca9aea9738ff82,Sudoku #1,3,0
19c11702c20afed38092ace3204b664b,Sudoku #1,12,9
19c11702c20afed38092ace3204b664b,Sudoku #1,11,6
addb7e774a311d3f625dfd62f4a920a6,Sudoku #1,10,0
addb7e774a311d3f625dfd62f4a920a6,Sudoku #1,11,1
07d7b67b94ac040b44f6f5cdd9b31711,Sudoku #1,12,0
e58494ba81888876514df0d106b49971,Sudoku #1,3,0
81e12a0e133a248c09496d90e741627b,Sudoku #1,2,0
81e12a0e133a248c09496d90e741627b,Sudoku #1,2,0
81e12a0e133a248c09496d90e741627b,Sudoku #1,11,0
81e12a0e133a248c09496d90e741627b,Sudoku #1,8,0
81e12a0e133a248c09496d90e741627b,Sudoku #1,10,9
bfaeb21127a172a84333ab46ce047218,Sudoku #1,3,0
bfaeb21127a172a84333ab46ce047218,Sudoku #1,12,7
bfaeb21127a172a84333ab46ce047218,Sudoku #1,12,0
bfaeb21127a172a84333ab46ce047218,Sudoku #1,11,0
2b928844378899ddd2cfb0876782992a,Sudoku #1,12,0
2b928844378899ddd2cfb0876782992a,Sudoku #1,2,0
2b928844378899ddd2cfb0876782992a,Sudoku #1,12,0
2b928844378899ddd2cfb0876782992a,Sudoku #1,11,0
a7cd2b1f61783522455eeaeae6b908b5,Sudoku #1,12,0
a7cd2b1f61783522455eeaeae6b908b5,Sudoku #1,11,0
a7cd2b1f61783522455eeaeae6b908b5,Sudoku #1,12,0
a7cd2b1f61783522455eeaeae6b908b5,Sudoku #1,2,0
a7cd2b1f61783522455eeaeae6b908b5,Sudoku #1,2,0
69d417f880ed3df6be17c66cb9890035,Sudoku #1,12,0
9cbd6692e45d29fc8b19b08d45180f04,Sudoku #1,12,0
90fcd3870492d49ef689ed012870116e,Sudoku #1,9,0
d9b6e6c726dc48ab955f14db7458ac99,Sudoku #1,8,7
d9b6e6c726dc48ab955f14db7458ac99,Sudoku #1,12,12
d9b6e6c726dc48ab955f14db7458ac99,Sudoku #1,2,2
d9b6e6c726dc48ab955f14db7458ac99,Sudoku #1,3,3
d9b6e6c726dc48ab955f14db7458ac99,Sudoku #1,2,2
6892c5fc78e68120ae5bc959df874790,Sudoku #1,2,0
6892c5fc78e68120ae5bc959df874790,Sudoku #1,12,0
6892c5fc78e68120ae5bc959df874790,Sudoku #1,12,0
6892c5fc78e68120ae5bc959df874790,Sudoku #1,11,0
9c7a61a45785fab413453b4927ca2ac4,Sudoku #1,2,0
9c7a61a45785fab413453b4927ca2ac4,Sudoku #1,11,0
9c7a61a45785fab413453b4927ca2ac4,Sudoku #1,11,0
9c7a61a45785fab413453b4927ca2ac4,Sudoku #1,2,0
9c7a61a45785fab413453b4927ca2ac4,Sudoku #1,2,0
9c7a61a45785fab413453b4927ca2ac4,Sudoku #1,2,2
9c7a61a45785fab413453b4927ca2ac4,Sudoku #1,1,0
9c7a61a45785fab413453b4927ca2ac4,Sudoku #1,12,11
3ecf78c083d7255e06d1d10210e5604d,Sudoku #1,3,0
3ecf78c083d7255e06d1d10210e5604d,Sudoku #1,12,4
3ecf78c083d7255e06d1d10210e5604d,Sudoku #1,12,4
3ecf78c083d7255e06d1d10210e5604d,Sudoku #1,12,0
3ecf78c083d7255e06d1d10210e5604d,Sudoku #1,1,0
3ecf78c083d7255e06d1d10210e5604d,Sudoku #1,4,0
3ecf78c083d7255e06d1d10210e5604d,Sudoku #1,6,0
3ecf78c083d7255e06d1d10210e5604d,Sudoku #1,2,2
3ecf78c083d7255e06d1d10210e5604d,Sudoku #1,2,0
1b9d2bfe1b5e135c13ff2b390fd99d91,Sudoku #1,12,0
1b9d2bfe1b5e135c13ff2b390fd99d91,Sudoku #1,2,2
0d773f8cbc7b8eae5aa836cf4aa21ff0,Sudoku #1,2,2
0d773f8cbc7b8eae5aa836cf4aa21ff0,Sudoku #1,2,0
0d773f8cbc7b8eae5aa836cf4aa21ff0,Sudoku #1,12,10
2e0bebcff751136d2c4cee1e7c7ae467,Sudoku #1,2,0
6f2523921b4825a079f27d42b304f58a,Sudoku #1,2,0
6f2523921b4825a079f27d42b304f58a,Sudoku #1,3,0
6f2523921b4825a079f27d42b304f58a,Sudoku #1,12,5
6f2523921b4825a079f27d42b304f58a,Sudoku #1,8,4
6f2523921b4825a079f27d42b304f58a,Sudoku #1,11,0
6f2523921b4825a079f27d42b304f58a,Sudoku #1,11,9
234bdde262389bf6b06776f47771e43c,Sudoku #1,12,0
234bdde262389bf6b06776f47771e43c,Sudoku #1,11,0
234bdde262389bf6b06776f47771e43c,Sudoku #1,12,0
c6897d28ea3b480e92ca03a48e301a78,Sudoku #1,3,0
c6897d28ea3b480e92ca03a48e301a78,Sudoku #4,5,0
c6897d28ea3b480e92ca03a48e301a78,Sudoku #1,2,0
c6897d28ea3b480e92ca03a48e301a78,Sudoku #1,3,0
c6897d28ea3b480e92ca03a48e301a78,Sudoku #1,12,0
c6897d28ea3b480e92ca03a48e301a78,Sudoku #1,2,0
c6897d28ea3b480e92ca03a48e301a78,Sudoku #1,4,0
c6897d28ea3b480e92ca03a48e301a78,Sudoku #1,12,0
c6897d28ea3b480e92ca03a48e301a78,Sudoku #1,11,0
c6897d28ea3b480e92ca03a48e301a78,Sudoku #1,2,0
8df26454075258ac8752903ebcb98c18,Sudoku #1,3,0
8df26454075258ac8752903ebcb98c18,Sudoku #1,12,0
8df26454075258ac8752903ebcb98c18,Sudoku #1,12,0
8df26454075258ac8752903ebcb98c18,Sudoku #1,12,0
8df26454075258ac8752903ebcb98c18,Sudoku #1,2,0
8df26454075258ac8752903ebcb98c18,Sudoku #1,2,0
b414eed47cba287d7a532d52ec9b03a7,Sudoku #1,2,0
b414eed47cba287d7a532d52ec9b03a7,Sudoku #1,3,0
b414eed47cba287d7a532d52ec9b03a7,Sudoku #1,11,0
b414eed47cba287d7a532d52ec9b03a7,Sudoku #1,11,0
b414eed47cba287d7a532d52ec9b03a7,Sudoku #1,12,0
fb1e56151293edaead05e43e1dd0b3e2,Sudoku #1,8,0
fb1e56151293edaead05e43e1dd0b3e2,Sudoku #1,12,0
fb1e56151293edaead05e43e1dd0b3e2,Sudoku #1,12,0
3812d8d5206e9f109510937176067e06,Sudoku #1,12,0
3812d8d5206e9f109510937176067e06,Sudoku #1,10,0
3812d8d5206e9f109510937176067e06,Sudoku #1,12,0
3812d8d5206e9f109510937176067e06,Sudoku #1,12,0
2af3dd7bd2fad847ca03b3c958290dbe,Sudoku #1,12,0
2af3dd7bd2fad847ca03b3c958290dbe,Sudoku #1,12,0
2af3dd7bd2fad847ca03b3c958290dbe,Sudoku #1,12,0
